,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
301,elk city,1,US,2020-03-21 17:53:21,48,35.41,-99.4,45.0,4.7
302,hastings,0,GB,2020-03-21 17:53:21,70,50.86,0.57,46.4,27.51
303,harrisburg,1,US,2020-03-21 17:53:21,39,40.27,-76.88,48.99,8.05
304,svetlyy,75,RU,2020-03-21 17:53:21,74,54.67,20.13,35.6,20.13
305,sola,100,VU,2020-03-21 17:53:22,80,-13.88,167.55,83.26,16.11
306,ust-nera,0,RU,2020-03-21 17:53:22,82,64.57,143.2,-12.5,4.21
307,san ramon,40,US,2020-03-21 17:53:13,66,37.78,-121.98,57.99,4.99
308,ormara,100,PK,2020-03-21 17:53:22,71,25.21,64.64,77.32,11.92
309,pundaguitan,72,PH,2020-03-21 17:53:22,83,6.37,126.17,79.84,8.84
310,jacareacanga,84,BR,2020-03-21 17:53:22,89,-6.22,-57.75,81.82,1.77
311,saint-francois,23,FR,2020-03-21 17:53:22,67,46.42,3.91,59.0,10.29
